ID,English,Spanish,Catalan,Portuguese,Italian,French,German,Russian,ChineseTraditional,Korean,Japanese
#ACCEPT#,Accept,Aceptar,Acceptar,Aceitar,Accetta,Accepter,Annehmen,Принять,接受,수락,承認する
#CANCEL#,Cancel,Cancelar,Cancel·lar,Cancelar,Cancella,Annuler,Annullieren,Отменить,取消,취소,取り消す
#YES#,Yes,Sí,Sí,Sim,Sì,Oui,Ja,Да,是,네,はい
#NO#,No,No,No,Não,No,Non,Nein,Нет,否,아니요,いいえ
#CLOSE#,Close,Cerrar,Tancar,Fechar,Chiudi,Fermer,Schließen,Закрыть,关闭,닫기,閉じる
#CONTINUE#,Continue,Continuar,Continuar,Continuar,Continua,Continuer,Weiter,Продолжайте,继续,계속,続ける
#MY_SCENARIOS#,My scenarios,Mis escenarios,Els meus escenaris,Os meus cenários,I miei scenari,Mes scènes,Meine Schauplätze,Мои сцены,我的场景,내 화면,私のシナリオ
#SELECT_OBJECT#,Select a kind of object to put in your scene,Selecciona el tipo de objeto para poner en tu escena,Selecciona el tipus d'objecte per ficar dintre la teva escena,Seleciona o tipo de objeto para o colocares na tua cena,Seleziona il tipo di oggetto da inserire nella tua scena,Sélectionne le type d’objet pour le placer sur ta scène,"Wählen Sie die Art von Objekt aus, um es in Ihre Szene zu stellen","Выберите тип объекта, чтобы поместить в вашу сцену",选择放置于你的场景的物件类型,화면에 배치할 사물 종류를 선택하세요. ,シーンに使用する物の種類を選択してください
#NO_IMAGE#,Theres is no image yet.,Pon una imagen de fondo de tu escenario,Posa una imatge de fons del teu escenari,Coloca uma imagem de fundo do teu cenário,Metti un’immagine di sfondo del tuo scenario,Place une image de fond sur ta scène,Erstellen Sie ein Hintergrundbild für Ihren Schauplatz,Поместите фоновое изображение вашей сцены,在你的场景中放置背景影像,장면 배경 화면을 설정하세요. ,シーンの背景になる画像を選んでください
#OPEN#,Open,Abrir,Obrir,Abrir,Apri,Ouvrir,Öffnen,Открыть,开启,열기 ,開く
#EDIT#,Edit,Editar,Editar,Editar,Modifica,Modifier,Bearbeiten,Редактировать,编辑,편집 ,編集する
#DELETE#,Delete,Borrar,Esborrar,Eliminar,Cancella,Effacer,Löschen,Удалить,删除,삭제 ,消去する
#BACK#,Back,Atrás,Enrere,Voltar,Indietro,Précédent,Zurück,Назад,返回,뒤로 ,戻る
#NO_ITEMS#,There is still no catch in your library,Todavía no tienes ninguna captura en tu librería,Encara no tens cap captura a la teva llibreria,Ainda não tens nenhuma captura na tua livraria,Non hai ancora nessuno scatto nella tua libreria,Tu n’as pas encore de capture dans ta bibliothèque,Sie Haben in Ihrer Bibliothek no keine Aufnahme,У вас ещё нет скриншота в библиотеке,你的鱼库里还没有任何的收获,아직 획득물이 없습니다. ,ライブラリにキャプチャーがありません
#NO_COLLECTABLES#,You do not have any collectibles yet!,Todavía no tienes ningún coleccionable,Encara no tens cap col·leccionable,Ainda não tens nenhum colecionável,Non hai ancora nessuna specie da collezione,Tu n’as toujours pas d’objet collectionné,Sie haben noch kein Sammelbild,У вас пока нет предметов коллекционирования,你还没有任何可收集物件,아직 수집물이 없습니다.,収集可能な物がありません
#NEW_SLOT#,Create new scenario,Nuevo escenario,Nou escenari,Novo cenário,Nuovo scenario,Nouvelle scène,Neuer Schauplatz,Новая сцена,新场景,새 장면 ,新しいシナリオ
#WRITE_NAME#,Enter a name four your scenario,Escribe un nombre para tu escenario,Escriu un nom pel teu escenari,Escreve um nome para o teu cenário,Scrivi un nome per il tuo scenario,Écris un nom pour ta scène,Geben Sie einen Namen für Ihren Schauplatz ein,Напишите название для новой сцены,输入你的场景名称,장면 이름 설정 ,シナリオの名前を記入してください
#ENTER_TEXT#,Enter text...,Introduce nombre...,Introdueix nom...,Introduz nome...,Inserisci il nome,Introduis un nom...,Geben Sie den Namen ein...,Введите имя…,输入名称...,이름 입력,名前を記入してください...
#SELECT#,Move / Rotate,Mover / Rotar,Moure / Girar,Mover/Rodar,Muovi / Ruota,Déplacer / Tourner,Bewegn / Drehen,Переместить / Повернуть,移动 / 旋转,움직이기 / 회전하기  ,移動する / 回転する
#SCALE#,Scale,Escalar,Escalar,Escalar,Ridimensiona,Mettre à l’échelle,Zoom,Подниматься,攀爬,올라가기,登る
#DELETE_ITEM#,Delete,Borrar,Esborrar,Eliminar,Cancella,Effacer,Löschen,Удалить,删除,삭제,消去する
#TAKE_PICTURE#,Take picture,Capturar foto,Fer foto,Tirar foto,Scatta la foto,Capturer photo,Foto aufnehmen,Захват фото,拍照,사진캡춰,写真を取り込む
#RENAME#,Rename scenario,Renombrar escenario,Canvia de nom l'escenari.,Renomear cenário,Rinomina scenario,Renommer scène,Schauplatz umbenennen,Переименовать сцену,为场景重新命名,장면 이름 재설정 ,シナリオの名前を変更する
